method,split,seed,fold,far,recall_050,threshold,consecutive
v2 teacher,development,0,0,0.14814814814814814,0.5789473684210527,0.55,2
v2 teacher,development,0,0,0.14814814814814814,0.5263157894736842,0.55,3
v2 teacher,development,0,0,0.07407407407407407,0.4473684210526316,0.55,4
v2 teacher,development,0,0,0.18518518518518517,0.6052631578947368,0.6,1
v2 teacher,development,0,0,0.14814814814814814,0.5789473684210527,0.6,2
v2 teacher,development,0,0,0.1111111111111111,0.5263157894736842,0.6,3
v2 teacher,development,0,0,0.07407407407407407,0.42105263157894735,0.6,4
v2 teacher,development,0,0,0.18518518518518517,0.6052631578947368,0.65,1
v2 teacher,development,0,0,0.1111111111111111,0.5657894736842105,0.65,2
v2 teacher,development,0,0,0.1111111111111111,0.5131578947368421,0.65,3
v2 teacher,development,0,0,0.07407407407407407,0.40789473684210525,0.65,4
v2 teacher,development,0,0,0.1111111111111111,0.6052631578947368,0.7,1
v2 teacher,development,0,0,0.1111111111111111,0.5526315789473685,0.7,2
v2 teacher,development,0,0,0.1111111111111111,0.4868421052631579,0.7,3
v2 teacher,development,0,0,0.07407407407407407,0.39473684210526316,0.7,4
v2 teacher,development,0,0,0.1111111111111111,0.5789473684210527,0.75,1
v2 teacher,development,0,0,0.1111111111111111,0.5394736842105263,0.75,2
v2 teacher,development,0,0,0.1111111111111111,0.4342105263157895,0.75,3
v2 teacher,development,0,0,0.07407407407407407,0.34210526315789475,0.75,4
v2 teacher,development,0,0,0.1111111111111111,0.5657894736842105,0.8,1
v2 teacher,development,0,0,0.1111111111111111,0.47368421052631576,0.8,2
v2 teacher,development,0,0,0.1111111111111111,0.40789473684210525,0.8,3
v2 teacher,development,0,0,0.07407407407407407,0.34210526315789475,0.8,4
v2 teacher,development,0,0,0.1111111111111111,0.5526315789473685,0.85,1
v2 teacher,development,0,0,0.07407407407407407,0.47368421052631576,0.85,2
v2 teacher,development,0,0,0.07407407407407407,0.35526315789473684,0.85,3
