variant,seed,fold,full_status,ablation_status,full_recall_050,ablation_recall_050,delta_recall_050,full_far,ablation_far
no_quality,13,2,pass,pass,0.6753246753246753,0.5194805194805194,-0.1558441558441559,0.037037037037037035,0.07407407407407407
no_quality,13,3,infeasible,infeasible,,,,,
no_quality,13,4,far_exceeded,infeasible,0.5232558139534884,,,0.14814814814814814,
no_quality,21,0,infeasible,far_exceeded,,0.6923076923076923,,,0.2222222222222222
no_quality,21,1,pass,infeasible,0.618421052631579,,,0.07407407407407407,
no_quality,21,2,pass,infeasible,0.38961038961038963,,,0.07407407407407407,
no_quality,21,3,infeasible,infeasible,,,,,
no_quality,21,4,infeasible,far_exceeded,,0.4418604651162791,,,0.1111111111111111
no_quality,42,0,far_exceeded,far_exceeded,0.6153846153846154,0.6410256410256411,0.02564102564102566,0.14814814814814814,0.18518518518518517
no_quality,42,1,pass,far_exceeded,0.5526315789473685,0.75,0.19736842105263153,0.037037037037037035,0.1111111111111111
no_quality,42,2,infeasible,infeasible,,,,,
no_quality,42,3,far_exceeded,infeasible,0.16455696202531644,,,0.15384615384615385,
no_quality,42,4,far_exceeded,far_exceeded,0.46511627906976744,0.5930232558139535,0.1279069767441861,0.1111111111111111,0.1111111111111111
no_quality,123,0,far_exceeded,far_exceeded,0.46153846153846156,0.7435897435897436,0.28205128205128205,0.2222222222222222,0.18518518518518517
no_quality,123,1,pass,infeasible,0.4473684210526316,,,0.07407407407407407,
no_quality,123,2,infeasible,infeasible,,,,,
no_quality,123,3,infeasible,infeasible,,,,,
no_quality,123,4,far_exceeded,far_exceeded,0.37209302325581395,0.5697674418604651,0.19767441860465118,0.14814814814814814,0.1111111111111111
