seed,fold,status,metric,ci_low,ci_high,fall_events,normal_events
123,0,far_exceeded,recall_at_0.50s,0.358974358974359,0.5641025641025641,78,27
123,0,far_exceeded,recall_at_1.00s,0.038461538461538464,0.16666666666666666,78,27
123,0,far_exceeded,false_alert_rate,0.07407407407407407,0.4074074074074074,78,27
123,1,pass,recall_at_0.25s,0.63125,0.8157894736842105,76,27
123,1,pass,recall_at_0.50s,0.32894736842105265,0.5526315789473685,76,27
123,1,pass,recall_at_1.00s,0.039473684210526314,0.15789473684210525,76,27
123,1,pass,false_alert_rate,0.0,0.18518518518518517,76,27
123,4,far_exceeded,recall_at_0.25s,0.5465116279069767,0.7441860465116279,86,27
123,4,far_exceeded,recall_at_0.50s,0.26744186046511625,0.47674418604651164,86,27
123,4,far_exceeded,recall_at_1.00s,0.0,0.08139534883720931,86,27
123,4,far_exceeded,false_alert_rate,0.037037037037037035,0.2962962962962963,86,27
