method,total_runs,evaluated_runs,outer_far_feasible_runs,outer_far_exceeded_runs,infeasible_runs,all_evaluated_far,all_evaluated_recall_at_0.25s,all_evaluated_recall_at_0.50s,all_evaluated_recall_at_1.00s,all_evaluated_mean_lead_seconds,all_evaluated_median_lead_seconds,far_feasible_far,far_feasible_recall_at_0.25s,far_feasible_recall_at_0.50s,far_feasible_recall_at_1.00s,far_feasible_mean_lead_seconds,far_feasible_median_lead_seconds
Paper teacher,30,20,8,12,10,0.12825278810408922,0.7517328292375551,0.499054820415879,0.11909262759924386,0.7250922006472857,0.5384352504677457,0.06046511627906977,0.7008130081300813,0.44227642276422763,0.0991869918699187,0.6593618473058992,0.50142209828676
TCNTE baseline,30,20,5,15,10,0.13221601489757914,0.7369774919614148,0.4270096463022508,0.1022508038585209,0.6730061826086581,0.48280779202609203,0.05925925925925926,0.7421875,0.4296875,0.078125,0.6238422470162078,0.4808896468049184
Pure TCN baseline,30,26,11,15,4,0.11477761836441894,0.704757233938205,0.40166748406081415,0.08729769494850417,0.6075906152100193,0.4688706032237549,0.05102040816326531,0.6500579374275782,0.33371958285052145,0.06952491309385864,0.561844867210598,0.4227339771006753
